Amount,Fraud/valid predicted
364.19,1
520.12,0
31.0,0
1.5,0
0.89,0
100.0,0
16.99,0
8.95,0
10.0,0
101.49,0
43.5,0
21.61,0
156.0,0
42.0,0
1.0,0
8.54,0
0.89,0
26.47,0
76.0,0
22.7,0
45.85,0
1.0,0
7.32,0
24.0,0
281.94,0
109.0,0
87.0,0
21.99,0
21.95,0
93.95,0
37.73,0
1.79,0
3502.11,0
101.19,0
40.0,0
9.99,0
113.94,0
35.98,0
29.95,0
82.0,0
7.53,0
10.0,0
69.0,0
247.24,0
1170.0,0
444.81,0
10.83,0
9.99,0
11.5,0
12.31,0
1.98,0
1.0,0
375.42,0
1.0,0
1.79,0
17.1,0
228.28,0
1.82,0
0.0,0
12.74,0
34.99,0
150.92,0
0.89,0
186.9,0
8.0,0
377.6,0
8.99,0
53.5,0
7.3,0
228.61,0
123.5,0
9.95,0
0.89,0
1.29,0
21.01,0
197.16,0
26.88,0
5.55,0
5.9,0
167.96,0
0.89,0
0.76,0
11.5,0
8.0,0
380.0,0
15.56,0
17.33,0
25.17,0
118.0,0
1.0,0
0.89,0
101.0,0
29.0,0
107.21,0
36.72,0
5.0,0
7.2,0
40.0,0
10.0,0
8.98,0
24.5,0
0.76,0
4.37,0
2.31,0
270.3,0
16.0,0
15.0,0
3.99,0
48.2,0
104.1,0
0.76,0
69.95,0
514.93,0
5.99,0
117.0,0
132.1,0
77.75,0
15.99,0
119.71,0
53.8,0
65.41,0
4.99,0
0.99,0
100.0,0
28.75,0
0.76,0
17.4,0
10.0,0
1.0,0
11.5,0
9.03,0
98.91,0
17.21,0
129.98,0
0.89,0
15.0,0
2.0,0
39.77,0
15.0,0
69.99,0
1.0,0
15.17,0
120.0,0
1.0,0
6.02,0
24.35,0
267.0,0
0.76,0
200.74,0
2.69,0
28.54,0
316.0,0
54.0,0
154.0,0
129.9,0
15.48,0
14.12,0
8.9,0
3.57,0
15.43,0
90.52,0
409.7,0
15.0,0
1.98,0
10.0,0
8.99,0
0.01,0
99.0,0
0.0,0
44.67,0
12.0,0
1.0,0
31.9,0
11.05,0
1678.0,0
1.0,0
5.99,0
1.0,0
1.18,0
16.95,0
179.7,0
3.87,0
3.58,0
15.0,0
76.0,0
33.48,0
60.0,0
34.62,0
